
:CDEC data from SACRAMENTO RIVER AT KESWICK
.A KWK 20170110 PS DH2200 /QRH 15700 
.A KWK 20170110 PS DH2300 /QRH 15600 
.A KWK 20170111 PS DH0000 /QRH 15600 
.A KWK 20170111 PS DH0100 /QRH 15400 
.A KWK 20170111 PS DH0200 /QRH 15400 
.A KWK 20170111 PS DH0300 /QRH 15700 
.A KWK 20170111 PS DH0400 /QRH 15800 
.A KWK 20170111 PS DH0500 /QRH 15800 
.A KWK 20170111 PS DH0600 /QRH 15800 
.A KWK 20170111 PS DH0700 /QRH 15900 
.A KWK 20170111 PS DH0800 /QRH 15800 
.A KWK 20170111 PS DH0900 /QRH 15900 
.A KWK 20170111 PS DH1000 /QRH 15800 
.A KWK 20170111 PS DH1100 /QRH 16900 
.A KWK 20170111 PS DH1200 /QRH 19600 
.A KWK 20170111 PS DH1300 /QRH 18000 
.A KWK 20170111 PS DH1400 /QRH 21100 
.A KWK 20170111 PS DH1500 /QRH 21200 
.A KWK 20170111 PS DH1600 /QRH 21200 
.A KWK 20170111 PS DH1700 /QRH 21200 
.A KWK 20170111 PS DH1800 /QRH 21100 
.A KWK 20170111 PS DH1900 /QRH 21200 
.A KWK 20170111 PS DH2000 /QRH 21200 
.A KWK 20170111 PS DH2100 /QRH 21100 
.A KWK 20170111 PS DH2200 /QRH 21100 
.A KWK 20170111 PS DH2300 /QRH 21800 
.A KWK 20170112 PS DH0000 /QRH 24100 
.A KWK 20170112 PS DH0100 /QRH 29700 
.A KWK 20170112 PS DH0200 /QRH 30600 
.A KWK 20170112 PS DH0300 /QRH 38100 
.A KWK 20170112 PS DH0400 /QRH 37600 
.A KWK 20170112 PS DH0500 /QRH 35900 
.A KWK 20170112 PS DH0600 /QRH 36500 
.A KWK 20170112 PS DH0700 /QRH 36000 
.A KWK 20170112 PS DH0800 /QRH 36600 
.A KWK 20170112 PS DH0900 /QRH 36400 
.A KWK 20170112 PS DH1000 /QRH 36400 
.A KWK 20170112 PS DH1100 /QRH 34100 
.A KWK 20170112 PS DH1200 /QRH 37000 
.A KWK 20170112 PS DH1300 /QRH 37100 
.A KWK 20170112 PS DH1400 /QRH 36900 
.A KWK 20170112 PS DH1500 /QRH 35800 
.A KWK 20170112 PS DH1600 /QRH 35700 
.A KWK 20170112 PS DH1700 /QRH 35800 
.A KWK 20170112 PS DH1800 /QRH 36200 
.A KWK 20170112 PS DH1900 /QRH 36400 
.A KWK 20170112 PS DH2000 /QRH 36600 
.A KWK 20170112 PS DH2100 /QRH 36500 
.A KWK 20170112 PS DH2200 /QRH 36500 
.A KWK 20170112 PS DH2300 /QRH 36600 
.A KWK 20170113 PS DH0000 /QRH 36100 
.A KWK 20170113 PS DH0100 /QRH 35800 
.A KWK 20170113 PS DH0200 /QRH 35400 
.A KWK 20170113 PS DH0300 /QRH 33400 
.A KWK 20170113 PS DH0400 /QRH 33400 
.A KWK 20170113 PS DH0500 /QRH 33300 
.A KWK 20170113 PS DH0600 /QRH 33600 
.A KWK 20170113 PS DH0700 /QRH 36600 
.A KWK 20170113 PS DH0800 /QRH 36300 
.A KWK 20170113 PS DH0900 /QRH 35000 
.A KWK 20170113 PS DH1000 /QRH 35300 
.A KWK 20170113 PS DH1100 /QRH 35100 
.A KWK 20170113 PS DH1200 /QRH 35300 
.A KWK 20170113 PS DH1300 /QRH 35400 
.A KWK 20170113 PS DH1400 /QRH 35100 
.A KWK 20170113 PS DH1500 /QRH 35100 
.A KWK 20170113 PS DH1600 /QRH 35100 
.A KWK 20170113 PS DH1700 /QRH 35900 
.A KWK 20170113 PS DH1800 /QRH 35600 
.A KWK 20170113 PS DH1900 /QRH 36100 
.A KWK 20170113 PS DH2000 /QRH 36200 
.A KWK 20170113 PS DH2100 /QRH 36200 
.A KWK 20170113 PS DH2200 /QRH 36300 
.A KWK 20170113 PS DH2300 /QRH 36000 
.A KWK 20170114 PS DH0000 /QRH 36200 
.A KWK 20170114 PS DH0100 /QRH 35900 
.A KWK 20170114 PS DH0200 /QRH 36300 
.A KWK 20170114 PS DH0300 /QRH 36000 
.A KWK 20170114 PS DH0400 /QRH 35800 
.A KWK 20170114 PS DH0500 /QRH 35600 
.A KWK 20170114 PS DH0600 /QRH 35700 
.A KWK 20170114 PS DH0700 /QRH 36100 
.A KWK 20170114 PS DH0800 /QRH 34600 
.A KWK 20170114 PS DH0900 /QRH 35200 
.A KWK 20170114 PS DH1000 /QRH 35200 
.A KWK 20170114 PS DH1100 /QRH 35000 
.A KWK 20170114 PS DH1200 /QRH 34900 
.A KWK 20170114 PS DH1300 /QRH 34500 
.A KWK 20170114 PS DH1400 /QRH 33000 
.A KWK 20170114 PS DH1500 /QRH 35000 
.A KWK 20170114 PS DH1600 /QRH 35000 
.A KWK 20170114 PS DH1700 /QRH 34900 
.A KWK 20170114 PS DH1800 /QRH 35100 
.A KWK 20170114 PS DH1900 /QRH 35100 
.A KWK 20170114 PS DH2000 /QRH 35500 
.A KWK 20170114 PS DH2100 /QRH 35200 
.A KWK 20170114 PS DH2200 /QRH 35200 
.A KWK 20170114 PS DH2300 /QRH 35000 
.A KWK 20170115 PS DH0000 /QRH 34900 
.A KWK 20170115 PS DH0100 /QRH 34500 
.A KWK 20170115 PS DH0200 /QRH 34500 
.A KWK 20170115 PS DH0300 /QRH 34300 
.A KWK 20170115 PS DH0400 /QRH 34300 
.A KWK 20170115 PS DH0500 /QRH 34400 
.A KWK 20170115 PS DH0600 /QRH 34400 
.A KWK 20170115 PS DH0700 /QRH 34400 
.A KWK 20170115 PS DH0800 /QRH 34400 
.A KWK 20170115 PS DH0900 /QRH 34500 
.A KWK 20170115 PS DH1000 /QRH 34600 
.A KWK 20170115 PS DH1100 /QRH 34600 
.A KWK 20170115 PS DH1200 /QRH 34300 
.A KWK 20170115 PS DH1300 /QRH 34300 
.A KWK 20170115 PS DH1400 /QRH 35100 
.A KWK 20170115 PS DH1500 /QRH 35000 
.A KWK 20170115 PS DH1600 /QRH 35000 
.A KWK 20170115 PS DH1700 /QRH 34900 
.A KWK 20170115 PS DH1800 /QRH 34700 
.A KWK 20170115 PS DH1900 /QRH 35100 
.A KWK 20170115 PS DH2000 /QRH 35000 
.A KWK 20170115 PS DH2100 /QRH 34800 
.A KWK 20170115 PS DH2200 /QRH 34900 
.A KWK 20170115 PS DH2300 /QRH 35100 
.A KWK 20170116 PS DH0000 /QRH 35000 
.A KWK 20170116 PS DH0100 /QRH 35100 
.A KWK 20170116 PS DH0200 /QRH 35000 
.A KWK 20170116 PS DH0300 /QRH 35200 
.A KWK 20170116 PS DH0400 /QRH 35000 
.A KWK 20170116 PS DH0500 /QRH 34800 
.A KWK 20170116 PS DH0600 /QRH 34700 
.A KWK 20170116 PS DH0700 /QRH 34900 
.A KWK 20170116 PS DH0800 /QRH 34200 
.A KWK 20170116 PS DH0900 /QRH 34300 
.A KWK 20170116 PS DH1000 /QRH 33500 
.A KWK 20170116 PS DH1100 /QRH 34100 
.A KWK 20170116 PS DH1200 /QRH 34200 
.A KWK 20170116 PS DH1300 /QRH 33800 
.A KWK 20170116 PS DH1400 /QRH 34100 
.A KWK 20170116 PS DH1500 /QRH 33800 
.A KWK 20170116 PS DH1600 /QRH 33900 
.A KWK 20170116 PS DH1700 /QRH 34100 
.A KWK 20170116 PS DH1800 /QRH 33900 
.A KWK 20170116 PS DH1900 /QRH 33900 
.A KWK 20170116 PS DH2000 /QRH 34300 
.A KWK 20170116 PS DH2100 /QRH 33800 
.A KWK 20170116 PS DH2200 /QRH 34100 
.A KWK 20170116 PS DH2300 /QRH 34300 
.A KWK 20170117 PS DH0000 /QRH 34000 
.A KWK 20170117 PS DH0100 /QRH 34000 
.A KWK 20170117 PS DH0200 /QRH 34500 
.A KWK 20170117 PS DH0300 /QRH 34400 
.A KWK 20170117 PS DH0400 /QRH 34400 
.A KWK 20170117 PS DH0500 /QRH 34600 
.A KWK 20170117 PS DH0600 /QRH 34500 
.A KWK 20170117 PS DH0700 /QRH 34600 
.A KWK 20170117 PS DH0800 /QRH 34400 
.A KWK 20170117 PS DH0900 /QRH 34400 
.A KWK 20170117 PS DH1000 /QRH 34600 
.A KWK 20170117 PS DH1100 /QRH 34600 
.A KWK 20170117 PS DH1200 /QRH 34500 
.A KWK 20170117 PS DH1300 /QRH 34700 
.A KWK 20170117 PS DH1400 /QRH 34600 
.A KWK 20170117 PS DH1500 /QRH 34600 
.A KWK 20170117 PS DH1600 /QRH 34500 
.A KWK 20170117 PS DH1700 /QRH 34400 
.A KWK 20170117 PS DH1800 /QRH 34600 
.A KWK 20170117 PS DH1900 /QRH 34500 
.A KWK 20170117 PS DH2000 /QRH 34500 
.A KWK 20170117 PS DH2100 /QRH 34500 
.A KWK 20170117 PS DH2200 /QRH 34500 
.A KWK 20170117 PS DH2300 /QRH 34400 
.A KWK 20170118 PS DH0000 /QRH 34400 
.A KWK 20170118 PS DH0100 /QRH 34000 
.A KWK 20170118 PS DH0200 /QRH 33800 
.A KWK 20170118 PS DH0300 /QRH 33900 
.A KWK 20170118 PS DH0400 /QRH 33600 
.A KWK 20170118 PS DH0500 /QRH 33700 
.A KWK 20170118 PS DH0600 /QRH 33700 
.A KWK 20170118 PS DH0700 /QRH 33500 
.A KWK 20170118 PS DH0800 /QRH 33300 
.A KWK 20170118 PS DH0900 /QRH 33500 
.A KWK 20170118 PS DH1000 /QRH 33700 
.A KWK 20170118 PS DH1100 /QRH 32300 
.A KWK 20170118 PS DH1200 /QRH 30400 
.A KWK 20170118 PS DH1300 /QRH 29000 
.A KWK 20170118 PS DH1400 /QRH 29100 
.A KWK 20170118 PS DH1500 /QRH 30200 
.A KWK 20170118 PS DH1600 /QRH 29500 
.A KWK 20170118 PS DH1700 /QRH 29500 
.A KWK 20170118 PS DH1800 /QRH 29400 
.A KWK 20170118 PS DH1900 /QRH 29600 
.A KWK 20170118 PS DH2000 /QRH 29800 
.A KWK 20170118 PS DH2100 /QRH 29900 
.A KWK 20170118 PS DH2200 /QRH 29500 
.A KWK 20170118 PS DH2300 /QRH 29500 
.A KWK 20170119 PS DH0000 /QRH 29200 
.A KWK 20170119 PS DH0100 /QRH 29000 
.A KWK 20170119 PS DH0200 /QRH 28900 
.A KWK 20170119 PS DH0300 /QRH 28900 
.A KWK 20170119 PS DH0400 /QRH 28700 
.A KWK 20170119 PS DH0500 /QRH 28800 
.A KWK 20170119 PS DH0600 /QRH 28800 
.A KWK 20170119 PS DH0700 /QRH 28700 
.A KWK 20170119 PS DH0800 /QRH 28800 
.A KWK 20170119 PS DH0900 /QRH 28800 
.A KWK 20170119 PS DH1000 /QRH 28700 
.A KWK 20170119 PS DH1100 /QRH 28800 
.A KWK 20170119 PS DH1200 /QRH 28800 
.A KWK 20170119 PS DH1300 /QRH 28800 
.A KWK 20170119 PS DH1400 /QRH 28600 
.A KWK 20170119 PS DH1500 /QRH 28700 
.A KWK 20170119 PS DH1600 /QRH 30000 
.A KWK 20170119 PS DH1700 /QRH 30200 
.A KWK 20170119 PS DH1800 /QRH 30400 
.A KWK 20170119 PS DH1900 /QRH 30200 
.A KWK 20170119 PS DH2000 /QRH 30200 
.A KWK 20170119 PS DH2100 /QRH 30200 
.A KWK 20170119 PS DH2200 /QRH 30200 
.A KWK 20170119 PS DH2300 /QRH 30400 
.A KWK 20170120 PS DH0000 /QRH 30600 
.A KWK 20170120 PS DH0100 /QRH 30400 
.A KWK 20170120 PS DH0200 /QRH 30700 
.A KWK 20170120 PS DH0300 /QRH 30700 
.A KWK 20170120 PS DH0400 /QRH 30700 
.A KWK 20170120 PS DH0500 /QRH 30700 
.A KWK 20170120 PS DH0600 /QRH 30800 
.A KWK 20170120 PS DH0700 /QRH 31000 
.A KWK 20170120 PS DH0800 /QRH 31100 
.A KWK 20170120 PS DH0900 /QRH 30600 
.A KWK 20170120 PS DH1000 /QRH 30100 
.A KWK 20170120 PS DH1100 /QRH 30000 
.A KWK 20170120 PS DH1200 /QRH 29700 
.A KWK 20170120 PS DH1300 /QRH 29600 
.A KWK 20170120 PS DH1400 /QRH 29700 
.A KWK 20170120 PS DH1500 /QRH 30300 
.A KWK 20170120 PS DH1600 /QRH 30400 
.A KWK 20170120 PS DH1700 /QRH 30500 
.A KWK 20170120 PS DH1800 /QRH 30500 
.A KWK 20170120 PS DH1900 /QRH 30900 
.A KWK 20170120 PS DH2000 /QRH 31100 
.A KWK 20170120 PS DH2100 /QRH 30800 
.A KWK 20170120 PS DH2200 /QRH 31100 
.A KWK 20170120 PS DH2300 /QRH 31000 
.A KWK 20170121 PS DH0000 /QRH 31100 
.A KWK 20170121 PS DH0100 /QRH 30900 
.A KWK 20170121 PS DH0200 /QRH 31000 
.A KWK 20170121 PS DH0300 /QRH 31200 
.A KWK 20170121 PS DH0400 /QRH 31200 
.A KWK 20170121 PS DH0500 /QRH 30900 
.A KWK 20170121 PS DH0600 /QRH 31000 
.A KWK 20170121 PS DH0700 /QRH 30900 
.A KWK 20170121 PS DH0800 /QRH 31000 
.A KWK 20170121 PS DH0900 /QRH 30800 
.A KWK 20170121 PS DH1000 /QRH 30800 
.A KWK 20170121 PS DH1100 /QRH 30700 
.A KWK 20170121 PS DH1200 /QRH 30800 
.A KWK 20170121 PS DH1300 /QRH 30600 
.A KWK 20170121 PS DH1400 /QRH 30400 
.A KWK 20170121 PS DH1500 /QRH 30400 
.A KWK 20170121 PS DH1600 /QRH 30500 
.A KWK 20170121 PS DH1700 /QRH 30600 
.A KWK 20170121 PS DH1800 /QRH 30600 
.A KWK 20170121 PS DH1900 /QRH 30600 
.A KWK 20170121 PS DH2000 /QRH 30700 
.A KWK 20170121 PS DH2100 /QRH 31000 
.A KWK 20170121 PS DH2200 /QRH 30600 
.A KWK 20170121 PS DH2300 /QRH 30700 
.A KWK 20170122 PS DH0000 /QRH 30900 
.A KWK 20170122 PS DH0100 /QRH 31000 
.A KWK 20170122 PS DH0200 /QRH 31300 
.A KWK 20170122 PS DH0300 /QRH 31000 
.A KWK 20170122 PS DH0400 /QRH 31000 
.A KWK 20170122 PS DH0500 /QRH 30900 
.A KWK 20170122 PS DH0600 /QRH 31000 
.A KWK 20170122 PS DH0700 /QRH 30800 
.A KWK 20170122 PS DH0800 /QRH 30400 
.A KWK 20170122 PS DH0900 /QRH 30600 
.A KWK 20170122 PS DH1000 /QRH 30300 
.A KWK 20170122 PS DH1100 /QRH 30300 
.A KWK 20170122 PS DH1200 /QRH 30200 
.A KWK 20170122 PS DH1300 /QRH 30400 
.A KWK 20170122 PS DH1400 /QRH 30500 
.A KWK 20170122 PS DH1500 /QRH 29900 
.A KWK 20170122 PS DH1600 /QRH 30100 
.A KWK 20170122 PS DH1700 /QRH 30100 
.A KWK 20170122 PS DH1800 /QRH 30200 
.A KWK 20170122 PS DH1900 /QRH 30100 
.A KWK 20170122 PS DH2000 /QRH 30200 
.A KWK 20170122 PS DH2100 /QRH 30100 
.A KWK 20170122 PS DH2200 /QRH 30000 
.A KWK 20170122 PS DH2300 /QRH 29800 
.A KWK 20170123 PS DH0000 /QRH 29700 
.A KWK 20170123 PS DH0100 /QRH 29700 
